id,age,job,marital,education,preferred_contact,balance,loan_house,loan_personal,n_marketing_contacts,marketing_potential,call_length,investment,period
93,30,entrepreneur,single,secondary,cellular,732,no,no,0,uknown,1404,330.16,0
94,70,retired,married,tertiary,cellular,15834,no,no,1,low,172,0,0
95,30,entrepreneur,married,secondary,cellular,-388,yes,no,3,low,263,0,0
96,42,blue-collar,married,secondary,NA,3743,yes,no,0,uknown,136,0,0
97,31,admin.,married,secondary,cellular,782,yes,no,0,uknown,427,0,0
98,28,admin.,single,secondary,cellular,707,yes,no,0,uknown,226,320.21,0
99,39,management,married,tertiary,cellular,1301,no,no,1,low,185,0,0
100,38,technician,married,secondary,cellular,10,no,no,5,uknown,86,0,0
101,40,technician,married,secondary,NA,1269,yes,no,0,uknown,656,0,0
102,33,blue-collar,single,secondary,cellular,4464,yes,no,0,uknown,217,0,0
103,53,services,divorced,NA,cellular,1012,yes,no,0,uknown,332,0,0
104,27,management,single,tertiary,cellular,2786,no,no,3,high,270,0,0
105,32,technician,single,secondary,cellular,1210,yes,yes,4,low,107,0,0
106,37,entrepreneur,divorced,secondary,NA,1190,yes,no,0,uknown,268,0,0
107,35,technician,single,tertiary,cellular,7838,no,no,0,uknown,17,0,0
108,28,management,single,tertiary,cellular,725,no,no,0,uknown,137,0,0
109,28,housemaid,single,primary,cellular,332,no,no,0,uknown,385,0,0
110,40,management,married,tertiary,cellular,12409,yes,no,0,uknown,196,0,0
111,34,blue-collar,married,secondary,NA,1412,yes,yes,0,uknown,157,0,0
112,33,admin.,married,secondary,NA,730,yes,no,0,uknown,70,0,0
113,42,management,married,primary,cellular,5310,yes,no,1,high,545,1307.27,0
114,30,blue-collar,single,secondary,cellular,315,no,no,0,uknown,1407,270.9,0
115,32,technician,married,secondary,NA,641,yes,no,0,uknown,336,0,0
116,37,blue-collar,married,primary,cellular,0,yes,no,4,low,362,0,0
117,37,blue-collar,single,secondary,NA,238,yes,no,0,uknown,200,0,0
118,53,technician,married,tertiary,telephone,2336,no,no,3,uknown,173,0,0
119,52,technician,married,secondary,cellular,-240,no,no,0,uknown,392,0,0
120,53,blue-collar,married,primary,cellular,570,no,no,0,uknown,158,0,0
121,48,blue-collar,married,primary,cellular,643,yes,no,7,uknown,66,0,0
122,32,technician,single,secondary,cellular,34,no,no,0,uknown,210,0,0
123,60,blue-collar,married,primary,cellular,38,yes,no,1,uknown,109,0,0
124,57,retired,married,tertiary,cellular,-5,no,no,0,uknown,42,0,0
125,55,blue-collar,married,secondary,cellular,1218,no,no,0,uknown,107,0,0
126,55,services,married,secondary,cellular,0,no,no,1,low,102,0,0
127,32,technician,married,secondary,NA,908,yes,no,0,uknown,64,0,0
128,27,student,single,secondary,cellular,1164,no,no,2,low,256,0,0
129,36,entrepreneur,married,tertiary,cellular,-502,yes,no,0,uknown,22,0,0
130,68,retired,married,primary,cellular,7945,no,no,0,uknown,210,0,0
131,33,self-employed,married,secondary,cellular,49,yes,no,0,uknown,170,0,0
132,46,blue-collar,single,primary,cellular,501,yes,no,0,uknown,207,0,0
133,36,management,single,secondary,cellular,1898,yes,no,0,uknown,243,0,0
134,42,management,married,secondary,NA,12282,yes,no,0,uknown,984,0,0
135,38,technician,married,tertiary,NA,-1350,yes,yes,0,uknown,96,0,0
136,47,services,single,secondary,cellular,870,yes,no,0,uknown,36,0,0
137,35,NA,married,primary,cellular,365,no,no,0,uknown,41,0,0
138,30,management,married,tertiary,cellular,294,no,no,0,uknown,605,0,0
139,40,blue-collar,married,secondary,cellular,1012,yes,no,0,uknown,410,0,0
140,39,technician,married,tertiary,cellular,1889,no,no,0,uknown,108,0,0
141,32,technician,divorced,tertiary,cellular,3255,no,no,0,uknown,167,557.63,0
142,34,technician,married,secondary,NA,1092,no,no,0,uknown,268,0,0
143,35,blue-collar,single,secondary,NA,470,yes,no,0,uknown,123,0,0
144,41,unemployed,married,secondary,cellular,0,yes,yes,0,uknown,400,0,0
145,29,admin.,single,secondary,cellular,914,yes,no,0,uknown,344,0,0
146,33,technician,married,secondary,cellular,711,no,no,0,uknown,78,0,0
147,49,technician,divorced,secondary,cellular,-403,no,yes,0,uknown,482,0,0
148,34,technician,married,tertiary,cellular,100,no,no,0,uknown,196,0,0
149,32,technician,single,tertiary,cellular,2340,no,no,0,uknown,89,487.51,0
150,59,management,married,tertiary,cellular,123,yes,no,0,uknown,70,0,0
151,42,blue-collar,married,primary,NA,398,yes,no,0,uknown,251,0,0
152,31,technician,single,secondary,NA,223,no,no,0,uknown,49,0,0
153,27,admin.,single,secondary,NA,685,yes,no,0,uknown,672,0,0
154,44,management,married,tertiary,telephone,-199,yes,no,0,uknown,261,0,0
155,26,services,married,secondary,NA,682,yes,yes,0,uknown,166,0,0
156,33,technician,single,secondary,cellular,268,no,no,0,uknown,255,0,0
157,49,technician,married,secondary,cellular,324,no,no,0,uknown,227,0,0
158,58,housemaid,married,secondary,telephone,2705,no,no,0,uknown,137,0,0
159,54,self-employed,married,tertiary,telephone,1510,no,no,0,uknown,800,0,0
160,36,self-employed,married,tertiary,NA,19,no,no,0,uknown,189,0,0
161,34,blue-collar,married,secondary,NA,457,yes,no,0,uknown,266,0,0
162,48,services,married,primary,NA,-583,yes,no,0,uknown,25,0,0
163,44,housemaid,married,primary,NA,2351,no,no,0,uknown,250,0,0
164,59,admin.,married,primary,telephone,4387,yes,no,0,uknown,73,0,0
165,31,unemployed,single,secondary,NA,199,yes,no,0,uknown,86,0,0
166,28,technician,married,secondary,cellular,-579,yes,yes,0,uknown,84,0,0
167,25,services,single,secondary,cellular,-41,no,yes,0,uknown,114,0,0
168,34,technician,single,secondary,cellular,268,yes,no,9,low,248,0,0
169,51,management,married,NA,NA,6482,yes,no,0,uknown,182,0,0
170,51,technician,married,secondary,cellular,2242,no,no,0,uknown,498,0,0
171,44,blue-collar,married,secondary,cellular,0,yes,no,0,uknown,90,0,0
172,38,blue-collar,single,primary,cellular,12130,yes,no,13,low,455,0,0
173,42,housemaid,married,primary,NA,0,no,yes,0,uknown,48,0,0
174,28,blue-collar,single,secondary,NA,1103,yes,no,0,uknown,14,0,0
175,28,unemployed,single,secondary,telephone,-1270,no,yes,0,uknown,237,0,0
176,30,services,married,primary,cellular,1015,yes,no,8,low,24,0,0
177,32,unemployed,married,primary,NA,9894,yes,no,0,uknown,118,0,0
178,37,services,married,secondary,NA,741,yes,no,0,uknown,88,0,0
179,44,services,divorced,secondary,cellular,12,yes,yes,0,uknown,5,0,0
180,41,services,married,secondary,cellular,446,yes,no,1,high,296,0,0
181,39,unemployed,married,primary,cellular,1147,yes,yes,5,low,232,0,0
182,19,student,single,secondary,cellular,302,no,no,0,uknown,205,37.02,0
183,46,technician,married,secondary,cellular,2098,no,no,0,uknown,110,0,0
184,42,services,single,secondary,cellular,7704,yes,no,0,uknown,153,0,0
185,52,housemaid,married,primary,NA,1837,no,no,0,uknown,118,0,0
186,44,blue-collar,married,primary,cellular,292,no,no,0,uknown,99,0,0
187,60,retired,married,NA,cellular,1396,no,yes,0,uknown,104,0,0
188,36,blue-collar,married,primary,cellular,345,yes,no,0,uknown,223,0,0
189,37,admin.,married,secondary,NA,36,yes,no,0,uknown,428,0,0
190,36,management,married,tertiary,cellular,2660,no,no,0,uknown,252,0,0
191,44,technician,married,primary,NA,-1379,yes,yes,0,uknown,140,0,0
192,52,management,married,tertiary,cellular,659,no,no,0,uknown,517,0,0
193,26,admin.,single,secondary,cellular,2509,no,no,3,high,776,512.87,0
194,46,self-employed,married,secondary,cellular,548,no,no,0,uknown,1181,308.42,0
195,25,admin.,single,secondary,cellular,248,yes,no,0,uknown,121,0,0
196,27,services,single,secondary,NA,1636,yes,no,0,uknown,282,0,0
197,42,technician,single,secondary,cellular,146,no,no,0,uknown,229,0,0
198,45,housemaid,married,secondary,NA,513,no,no,0,uknown,126,0,0
199,36,services,married,secondary,cellular,-11,yes,no,0,uknown,172,0,0
200,34,admin.,single,tertiary,cellular,4254,yes,no,1,high,104,0,0
201,33,blue-collar,single,secondary,telephone,38,yes,no,1,uknown,139,0,0
202,30,blue-collar,single,secondary,NA,178,yes,no,0,uknown,747,0,0
203,41,blue-collar,married,secondary,NA,51,yes,no,0,uknown,39,0,0
204,26,blue-collar,single,secondary,cellular,154,yes,no,2,low,1010,0,0
205,43,admin.,divorced,secondary,cellular,587,yes,no,0,uknown,282,0,0
206,35,technician,married,secondary,cellular,1,no,no,0,uknown,215,0,0
207,52,blue-collar,married,primary,cellular,-27,no,no,0,uknown,51,0,0
208,29,services,single,secondary,NA,487,yes,yes,0,uknown,176,0,0
209,60,management,married,tertiary,cellular,5990,yes,no,0,uknown,396,1445.66,0
210,39,management,married,tertiary,cellular,1802,no,no,1,low,92,0,0
211,51,admin.,divorced,secondary,cellular,74,yes,no,2,low,74,0,0
212,61,retired,divorced,secondary,cellular,410,no,yes,0,uknown,470,0,0
213,39,admin.,married,secondary,cellular,1388,yes,no,0,uknown,150,0,0
214,35,unemployed,divorced,primary,NA,118,no,no,0,uknown,12,0,0
215,55,retired,married,primary,cellular,0,yes,yes,0,uknown,201,0,0
216,48,services,divorced,secondary,cellular,201,yes,no,2,low,242,0,0
217,36,management,married,tertiary,NA,59,yes,yes,0,uknown,100,0,0
218,33,self-employed,married,tertiary,cellular,210,yes,no,1,low,84,0,0
219,45,self-employed,divorced,tertiary,cellular,75,yes,yes,0,uknown,236,0,0
220,26,self-employed,single,tertiary,cellular,1444,no,no,0,uknown,139,0,0
221,43,blue-collar,married,primary,NA,1147,yes,yes,0,uknown,112,0,0
222,49,management,divorced,tertiary,cellular,651,no,yes,0,uknown,79,0,0
223,34,blue-collar,married,secondary,cellular,233,yes,no,0,uknown,98,0,0
224,46,technician,married,secondary,cellular,278,yes,no,0,uknown,185,0,0
225,30,entrepreneur,married,secondary,cellular,392,yes,no,0,uknown,117,0,0
226,33,technician,married,secondary,NA,367,yes,yes,0,uknown,22,0,0
227,27,blue-collar,married,primary,telephone,108,yes,no,0,uknown,57,0,0
228,33,unemployed,single,secondary,NA,427,no,no,0,uknown,12,0,0
229,48,admin.,divorced,secondary,cellular,4099,no,no,0,uknown,397,654.13,0
230,47,blue-collar,married,primary,cellular,881,yes,no,2,low,143,0,0
231,30,self-employed,single,tertiary,cellular,137,yes,no,0,uknown,214,0,0
232,36,technician,married,tertiary,cellular,4388,no,no,0,uknown,52,0,0
233,51,technician,married,tertiary,cellular,825,no,no,0,uknown,977,339.04,0
234,60,technician,divorced,secondary,NA,0,no,no,0,uknown,105,0,0
235,49,management,married,tertiary,cellular,87,no,no,0,uknown,165,0,0
236,38,blue-collar,married,secondary,NA,-3,no,yes,0,uknown,172,0,0
237,28,student,single,tertiary,telephone,170,no,no,0,uknown,16,0,0
238,56,blue-collar,married,primary,cellular,278,no,yes,0,uknown,261,0,0
239,33,management,married,tertiary,cellular,22867,yes,no,5,high,165,0,0
240,45,blue-collar,married,secondary,cellular,0,no,no,0,uknown,215,0,0
241,28,services,single,secondary,cellular,339,no,no,1,high,350,309.08,0
242,34,admin.,married,secondary,telephone,0,yes,no,0,uknown,38,0,0
243,32,management,single,tertiary,cellular,470,no,no,0,uknown,286,0,0
244,39,blue-collar,single,primary,cellular,267,no,no,0,uknown,322,0,0
245,26,self-employed,single,tertiary,cellular,2857,no,no,0,uknown,446,547.4,0
246,26,services,married,secondary,cellular,77,yes,no,4,low,619,248.11,0
247,35,management,married,tertiary,NA,440,yes,no,0,uknown,110,0,0
248,58,admin.,married,secondary,cellular,4962,no,yes,0,uknown,112,0,0
249,29,management,married,secondary,NA,5284,yes,no,0,uknown,321,0,0
250,36,retired,single,secondary,NA,101,yes,yes,0,uknown,314,0,0
251,54,technician,single,secondary,cellular,198,yes,yes,2,low,120,0,0
252,33,student,single,tertiary,cellular,3404,yes,no,3,low,105,0,0
253,60,management,married,NA,NA,2508,no,no,0,uknown,91,0,0
254,30,management,single,tertiary,cellular,115,no,no,0,uknown,154,0,0
255,39,services,married,secondary,cellular,64,no,no,0,uknown,100,0,0
256,47,blue-collar,divorced,secondary,NA,65,yes,no,0,uknown,205,0,0
257,35,services,married,secondary,NA,5029,yes,yes,0,uknown,369,0,0
258,46,blue-collar,married,primary,telephone,776,no,yes,0,uknown,76,0,0
259,44,management,married,tertiary,cellular,1752,no,no,0,uknown,312,0,0
260,53,admin.,married,secondary,telephone,109,no,no,1,high,431,0,0
261,32,self-employed,single,tertiary,cellular,46,yes,no,0,uknown,485,294.19,0
262,33,technician,married,tertiary,cellular,4401,no,no,1,high,96,0,0
263,34,management,single,tertiary,cellular,48,yes,no,6,low,810,272.27,0
264,36,entrepreneur,married,tertiary,NA,125,yes,no,0,uknown,95,0,0
265,37,admin.,married,secondary,NA,0,no,yes,0,uknown,176,0,0
266,37,management,single,tertiary,cellular,2265,yes,no,0,uknown,64,0,0
267,56,retired,married,primary,telephone,9367,no,no,4,high,271,490.06,0
268,49,services,single,secondary,NA,459,yes,no,0,uknown,58,0,0
269,51,self-employed,married,NA,cellular,2094,no,no,0,uknown,458,470.98,0
270,44,blue-collar,married,secondary,NA,0,no,no,0,uknown,26,0,0
271,49,housemaid,married,primary,NA,360,no,no,0,uknown,6,0,0
272,47,management,divorced,secondary,cellular,0,yes,no,0,uknown,75,0,0
273,27,services,single,tertiary,cellular,691,no,yes,0,uknown,357,0,0
274,39,management,married,secondary,cellular,46,yes,no,0,uknown,298,0,0
275,30,admin.,single,secondary,cellular,382,yes,no,1,low,369,0,0
276,36,technician,married,secondary,cellular,2473,no,no,0,uknown,965,509.02,0
277,41,admin.,single,secondary,NA,812,no,yes,0,uknown,583,205.2,0
278,36,management,divorced,tertiary,cellular,803,yes,no,0,uknown,143,0,0
279,54,technician,married,secondary,cellular,369,no,no,0,uknown,226,0,0
280,38,admin.,married,secondary,cellular,-241,no,no,0,uknown,570,0,0
281,51,self-employed,married,primary,telephone,0,yes,no,0,uknown,215,0,0
282,50,management,married,tertiary,cellular,2050,no,no,0,uknown,158,0,0
283,58,retired,married,secondary,cellular,8332,no,no,0,uknown,740,0,0
284,33,entrepreneur,married,secondary,NA,-118,yes,yes,0,uknown,421,0,0
285,42,blue-collar,married,NA,NA,408,yes,no,0,uknown,107,0,0
286,36,blue-collar,married,secondary,cellular,108,yes,no,0,uknown,348,0,0
287,59,unemployed,married,primary,cellular,0,no,no,0,uknown,3025,0,0
288,32,services,married,secondary,cellular,8043,yes,no,0,uknown,202,0,0
289,48,technician,married,secondary,cellular,164,no,no,0,uknown,76,0,0
290,47,self-employed,married,tertiary,cellular,2303,yes,no,1,low,323,0,0
291,45,technician,married,secondary,cellular,2403,no,no,0,uknown,207,0,0
292,55,services,married,secondary,cellular,3546,yes,yes,0,uknown,268,0,0
293,22,student,single,secondary,cellular,47,no,no,0,uknown,236,0,0
294,46,self-employed,divorced,tertiary,cellular,926,yes,no,3,low,463,0,0
295,32,blue-collar,single,primary,NA,315,yes,no,0,uknown,61,0,0
296,31,entrepreneur,single,secondary,cellular,131,yes,no,0,uknown,157,0,0
297,38,housemaid,divorced,tertiary,cellular,4312,no,no,2,uknown,407,0,0
298,29,blue-collar,married,secondary,cellular,64,yes,no,3,low,444,0,0
299,29,unemployed,divorced,tertiary,cellular,1718,yes,no,0,uknown,579,0,0
300,40,services,married,secondary,cellular,-212,yes,yes,1,low,71,0,0
301,44,blue-collar,married,secondary,NA,575,yes,no,0,uknown,477,0,0
302,38,management,married,tertiary,cellular,76,yes,no,3,low,167,0,0
303,44,blue-collar,married,primary,NA,0,no,yes,0,uknown,144,0,0
304,32,admin.,married,secondary,cellular,3,yes,yes,0,uknown,612,0,0
305,26,management,single,tertiary,NA,1,no,no,0,uknown,6,0,0
306,38,self-employed,married,secondary,NA,-10,no,no,0,uknown,137,0,0
307,56,self-employed,married,NA,cellular,0,no,no,0,uknown,130,0,0
308,36,blue-collar,married,secondary,NA,21,yes,no,0,uknown,89,0,0
309,41,technician,single,tertiary,cellular,145,no,no,0,uknown,1833,268.16,0
310,22,student,single,secondary,cellular,1925,no,no,0,uknown,180,0,0
311,57,retired,married,NA,cellular,-157,no,no,0,uknown,31,0,0
312,39,blue-collar,married,primary,cellular,-176,no,no,0,uknown,176,0,0
313,40,admin.,married,secondary,cellular,3126,yes,no,0,uknown,200,0,0
314,50,retired,married,secondary,cellular,1227,no,no,0,uknown,380,0,0
315,30,services,single,secondary,cellular,248,yes,no,0,uknown,87,0,0
316,79,retired,married,secondary,cellular,8304,no,no,9,high,456,442.7,0
317,55,management,divorced,tertiary,cellular,608,yes,no,0,uknown,161,0,0
318,37,management,divorced,tertiary,cellular,0,yes,no,11,low,74,0,0
319,47,admin.,married,secondary,NA,4307,no,no,0,uknown,88,0,0
320,60,retired,single,secondary,NA,1625,no,no,0,uknown,119,0,0
321,45,technician,divorced,secondary,cellular,49,no,no,0,uknown,164,0,0
322,51,blue-collar,married,primary,cellular,3185,yes,no,0,uknown,187,0,0
323,24,blue-collar,single,primary,cellular,1033,yes,no,0,uknown,283,0,0
324,22,student,single,secondary,cellular,216,no,no,2,high,178,35.01,0
325,33,blue-collar,married,primary,cellular,-132,yes,yes,0,uknown,170,0,0
326,41,blue-collar,divorced,secondary,cellular,139,yes,no,1,low,178,0,0
327,46,admin.,married,secondary,cellular,171,yes,yes,1,low,251,0,0
328,47,blue-collar,divorced,secondary,cellular,25,yes,no,0,uknown,166,0,0
329,45,blue-collar,married,NA,cellular,13265,no,no,0,uknown,113,0,0
330,36,services,single,primary,NA,183,no,no,0,uknown,167,0,0
331,52,technician,married,secondary,NA,291,no,no,0,uknown,143,0,0
332,28,technician,single,secondary,cellular,113,no,no,1,low,204,267.86,0
333,44,management,divorced,tertiary,NA,3932,yes,no,0,uknown,40,0,0
334,36,services,married,secondary,NA,393,yes,yes,0,uknown,126,0,0
335,30,self-employed,married,tertiary,cellular,1050,no,no,0,uknown,58,0,0
336,50,blue-collar,married,secondary,cellular,0,no,no,0,uknown,78,0,0
337,47,admin.,married,tertiary,NA,12276,no,no,0,uknown,77,0,0
338,53,blue-collar,married,primary,cellular,306,no,no,1,high,388,297.81,0
339,26,services,single,tertiary,cellular,130,yes,no,1,low,24,0,0
340,41,technician,married,primary,NA,141,yes,no,0,uknown,299,0,0
341,46,blue-collar,married,primary,NA,7934,yes,no,0,uknown,123,0,0
342,47,blue-collar,married,primary,NA,94,yes,no,0,uknown,209,0,0
343,36,technician,married,secondary,NA,5611,yes,no,0,uknown,39,0,0
344,46,management,married,tertiary,telephone,2732,yes,no,0,uknown,184,0,0
345,32,management,single,tertiary,cellular,20,no,no,0,uknown,1151,245.06,0
346,31,management,single,tertiary,cellular,0,no,no,0,uknown,35,0,0
347,55,blue-collar,married,primary,cellular,1086,yes,no,2,low,146,0,0
348,28,blue-collar,single,secondary,NA,802,yes,no,0,uknown,195,0,0
349,39,technician,single,secondary,cellular,-237,yes,no,0,uknown,64,0,0
350,57,services,married,secondary,cellular,0,yes,no,3,uknown,16,0,0
351,40,management,married,tertiary,cellular,640,yes,no,0,uknown,202,0,0
352,44,blue-collar,married,primary,NA,858,yes,no,0,uknown,362,0,0
353,37,entrepreneur,married,tertiary,cellular,2089,yes,no,0,uknown,40,0,0
354,57,entrepreneur,married,secondary,NA,1037,yes,yes,0,uknown,112,0,0
355,72,management,married,tertiary,telephone,7003,no,no,0,uknown,116,0,0
356,52,blue-collar,married,secondary,cellular,223,no,no,0,uknown,81,0,0
357,44,management,married,tertiary,cellular,170,no,no,0,uknown,94,0,0
358,60,retired,married,primary,telephone,1906,no,no,2,uknown,79,0,0
359,47,unemployed,married,primary,telephone,168,yes,no,1,uknown,66,0,0
360,41,management,married,tertiary,cellular,1468,yes,no,0,uknown,237,516.16,0
361,44,technician,married,secondary,cellular,196,no,no,0,uknown,367,0,0
362,33,technician,married,secondary,cellular,-74,yes,no,0,uknown,198,0,0
363,44,admin.,divorced,secondary,cellular,2999,yes,no,0,uknown,717,552.64,0
364,39,services,married,tertiary,cellular,35,no,no,0,uknown,211,0,0
365,44,blue-collar,married,primary,NA,321,yes,no,0,uknown,59,0,0
366,46,blue-collar,married,NA,cellular,8,no,no,0,uknown,79,0,0
367,34,admin.,single,secondary,cellular,0,yes,no,2,low,214,0,0
368,45,management,married,secondary,cellular,2873,yes,no,0,uknown,30,0,0
369,55,technician,married,secondary,cellular,3207,no,no,12,low,158,0,0
370,40,blue-collar,married,primary,cellular,332,yes,no,3,low,339,0,0
371,49,services,married,secondary,cellular,1122,no,no,0,uknown,143,0,0
372,39,services,single,secondary,cellular,600,no,no,0,uknown,277,0,0
373,34,technician,single,secondary,NA,-269,yes,no,0,uknown,102,0,0
374,41,blue-collar,married,secondary,NA,923,yes,no,0,uknown,249,0,0
375,38,management,single,tertiary,cellular,0,yes,no,0,uknown,213,0,0
376,47,unemployed,married,secondary,cellular,49,yes,no,0,uknown,66,0,0
